task_id,seed,weighted_ensemble,individual
2073,10,0.8893467658758236,0.8965785565013693
2073,17,0.8623868750222151,0.8674988772148193
168784,6,0.9687196067092328,0.9698375019233474
168784,10,0.9732448731901144,0.9745975112724112
168784,9,0.9741307089099096,0.971938122978604
2073,20,0.8942227174036448,0.8956387359812682
2073,1,0.8934560038458542,0.8729357257337546
359964,18,0.9941402996135924,0.9941793679343008
2073,6,0.9156326692776402,0.9069389761374592
168784,16,0.9779612870435016,0.9767947160986552
168784,2,0.95664171004956,0.9608995615726548
168784,0,0.974061416824098,0.970001349332173
2073,5,0.8804709257980207,0.8804172859470007
168784,18,0.9700008228707117,0.9585718611425534
2073,18,0.8842994283739201,0.8707402050239986
168784,15,0.96575452443178,0.9640052676210586
2073,13,0.9004009254097998,0.8437959710531462
2073,11,0.8928446370402726,0.8819377392384655
2073,7,0.8819588651620791,0.8564071984969303
359964,12,0.9927383669124712,0.9909596254126988
168784,19,0.967418918832616,0.9676289525676668
168784,3,0.968971768576468,0.9694384449702704
168784,4,0.9687703726720748,0.9674819417787212
168784,1,0.9589754265730802,0.9583763647841672
2073,9,0.9303996137214944,0.8480895028643868
359964,20,0.9929822605208796,0.990099439968404
168784,20,0.9654411042913746,0.9624565409095548
168784,11,0.9750770809213872,0.9725827601636784
168784,14,0.9727511932124489,0.9651568199279436
359964,11,0.9973486372149036,0.9975142935857704
168784,5,0.9662585337034422,0.962287180031117
359964,1,0.9929864966002736,0.9855461011424124
2073,3,0.8849987082811698,0.8869842267133219
359964,13,0.9944774895279318,0.9937049591303362
168784,7,0.9831660961224254,0.9792085600059742
2073,0,0.9036317771962624,0.9129545801945044
359964,15,0.9961694856985668,0.9948701324355947
2073,15,0.875697890960506,0.8679493121175982
2073,19,0.8681890729453233,0.8724895556487621
2073,2,0.893379116321063,0.8787844142471307
168784,12,0.965583007821342,0.9648968727824554
2073,16,0.8859760808612764,0.8689518964521502
2073,4,0.8469035437606062,0.8842196306732746
168784,17,0.9672169944118448,0.9666266811165684
168784,8,0.9746608970005208,0.974976799265536
2073,12,0.8929751181816717,0.8958380140256252
168784,13,0.9566413076409914,0.96223034391292
2073,8,0.9145737340884196,0.915604736287014
2073,14,0.8606806358806784,0.8585237555974266
