task_id,seed,ensemble,individual
satimage,1,0.9230171073094868,0.91601866251944
satimage,16,0.9261275272161742,0.916796267496112
wine-quality,1,0.671875,0.665625
satimage,18,0.9245723172628304,0.9206842923794712
vehicle,5,0.8411764705882353,0.8294117647058824
wine-quality,15,0.671875,0.696875
satimage,12,0.926905132192846,0.9237947122861586
vehicle,1,0.8411764705882353,0.8588235294117647
wine-quality,18,0.671875,0.675
satimage,2,0.9222395023328148,0.9136858475894246
vehicle,13,0.8294117647058824,0.8529411764705882
vehicle,19,0.8411764705882353,0.8529411764705882
satimage,0,0.9230171073094868,0.9191290824261276
wine-quality,13,0.68125,0.665625
satimage,10,0.9230171073094868,0.9206842923794712
vehicle,14,0.8529411764705882,0.8470588235294118
satimage,6,0.9245723172628304,0.921461897356143
vehicle,2,0.8411764705882353,0.8529411764705882
wine-quality,14,0.675,0.65
wine-quality,6,0.684375,0.6875
wine-quality,8,0.678125,0.671875
wine-quality,19,0.678125,0.68125
satimage,4,0.926905132192846,0.9222395023328148
vehicle,18,0.8294117647058824,0.8705882352941177
wine-quality,17,0.69375,0.684375
vehicle,7,0.8352941176470589,0.8529411764705882
satimage,15,0.9307931570762052,0.9230171073094868
vehicle,6,0.8647058823529412,0.8294117647058824
wine-quality,5,0.6875,0.684375
wine-quality,16,0.6875,0.6875
satimage,3,0.9245723172628304,0.9253499222395024
wine-quality,0,0.69375,0.6875
vehicle,16,0.8470588235294118,0.8352941176470589
vehicle,15,0.8588235294117647,0.8470588235294118
wine-quality,11,0.68125,0.7
wine-quality,10,0.6875,0.678125
wine-quality,9,0.678125,0.6625
satimage,17,0.9284603421461898,0.9183514774494556
wine-quality,2,0.6875,0.675
satimage,20,0.9331259720062208,0.921461897356143
wine-quality,12,0.665625,0.678125
wine-quality,7,0.68125,0.659375
vehicle,10,0.8352941176470589,0.8294117647058824
wine-quality,20,0.6875,0.678125
satimage,8,0.9253499222395024,0.9199066874027994
vehicle,0,0.8529411764705882,0.8529411764705882
satimage,11,0.9230171073094868,0.9199066874027994
vehicle,17,0.8470588235294118,0.8470588235294118
vehicle,3,0.8529411764705882,0.8411764705882353
satimage,14,0.927682737169518,0.9191290824261276
satimage,7,0.9261275272161742,0.917573872472784
satimage,9,0.9261275272161742,0.9191290824261276
wine-quality,3,0.684375,0.671875
satimage,13,0.9261275272161742,0.91601866251944
vehicle,4,0.8529411764705882,0.8705882352941177
satimage,5,0.9245723172628304,0.9183514774494556
vehicle,9,0.8529411764705882,0.8529411764705882
vehicle,8,0.8529411764705882,0.8529411764705882
wine-quality,4,0.69375,0.678125
vehicle,12,0.8705882352941177,0.8529411764705882
vehicle,20,0.8588235294117647,0.8705882352941177
vehicle,11,0.8529411764705882,0.8470588235294118
satimage,19,0.9230171073094868,0.9222395023328148
